first_category,customers,repeat_rate,avg_orders,repeat_pct
home_appliances,674,0.08605341246290801,1.1008902077151335,8.6
fashion_male_clothing,101,0.06930693069306931,1.0792079207920793,6.9
fashion_bags_accessories,1697,0.05657041838538598,1.0677666470241602,5.7
fashion_shoes,226,0.048672566371681415,1.0530973451327434,4.9
furniture_decor,5924,0.046083727211343684,1.0487846049966238,4.6
air_conditioning,237,0.046413502109704644,1.0506329113924051,4.6
bed_bath_table,8798,0.04478290520572858,1.0500113662195953,4.5
drinks,269,0.04460966542750929,1.0483271375464684,4.5
fashion_underwear_beach,114,0.043859649122807015,1.043859649122807,4.4
furniture_living_room,383,0.044386422976501305,1.0600522193211488,4.4
home_confort,333,0.03903903903903904,1.039039039039039,3.9
sports_leisure,7190,0.0388038942976356,1.0440890125173852,3.9
costruction_tools_garden,180,0.03333333333333333,1.0333333333333334,3.3
christmas_supplies,122,0.03278688524590164,1.0327868852459017,3.3
pet_shop,1627,0.02950215119852489,1.031960663798402,3.0
garden_tools,3329,0.029137879243015922,1.0321417843196155,2.9
fixed_telephony,207,0.028985507246376812,1.0289855072463767,2.9
perfumery,2986,0.028466175485599463,1.030140656396517,2.8
computers_accessories,6305,0.02839016653449643,1.030610626486915,2.8
unknown,1291,0.027885360185902403,1.029434546862897,2.8
construction_tools_safety,150,0.02666666666666667,1.0266666666666666,2.7
housewares,5487,0.02697284490614179,1.0300710770913066,2.7
market_place,261,0.02681992337164751,1.0268199233716475,2.7
health_beauty,8366,0.02713363614630648,1.0298828591919675,2.7
audio,342,0.02631578947368421,1.0263157894736843,2.6
food,422,0.026066350710900472,1.028436018957346,2.6
home_construction,440,0.025,1.025,2.5
books_general_interest,486,0.024691358024691357,1.0246913580246915,2.5
telephony,3985,0.024341279799247176,1.0265997490589711,2.4
toys,3655,0.023529411764705882,1.0270861833105336,2.4
food_drink,211,0.023696682464454975,1.052132701421801,2.4
baby,2722,0.022777369581190303,1.0238795003673768,2.3
office_furniture,1220,0.022131147540983605,1.022950819672131,2.2
industry_commerce_and_business,224,0.022321428571428572,1.0223214285714286,2.2
stationery,2191,0.020994979461433135,1.0251026928343223,2.1
watches_gifts,5298,0.020762551906379767,1.024160060400151,2.1
construction_tools_construction,709,0.021156558533145273,1.0211565585331452,2.1
art,191,0.020942408376963352,1.0261780104712042,2.1
small_appliances,591,0.02030456852791878,1.0219966159052454,2.0
auto,3714,0.01992460958535272,1.022347872913301,2.0
home_appliances_2,216,0.018518518518518517,1.0277777777777777,1.9
luggage_accessories,986,0.019269776876267748,1.0212981744421907,1.9
cool_stuff,3459,0.019080659150043366,1.0231280716970224,1.9
consoles_games,998,0.01903807615230461,1.0220440881763526,1.9
kitchen_dining_laundry_garden_furniture,231,0.017316017316017316,1.0173160173160174,1.7
musical_instruments,595,0.01680672268907563,1.0184873949579831,1.7
construction_tools_lights,229,0.017467248908296942,1.0218340611353711,1.7
electronics,2465,0.015821501014198783,1.0162271805273835,1.6
signaling_and_security,134,0.014925373134328358,1.0223880597014925,1.5
agro_industry_and_commerce,174,0.011494252873563218,1.0114942528735633,1.1
books_technical,253,0.007905138339920948,1.007905138339921,0.8
computers,173,0.005780346820809248,1.0057803468208093,0.6
